datasets/testfiles/rhs_series_2.test

60
RHS changed 
SCIP Version: 8.02
[INSTANCE] rhs_s2_i01.mps.gz
[START] 2023-02-13T00:59:22
[DUALBOUND] -17208.712602100
[END] 2023-02-13T01:00:20

[INSTANCE] rhs_s2_i02.mps.gz
[START] 2023-02-13T01:00:20
[DUALBOUND] -17167.436151164
[END] 2023-02-13T01:00:58

[INSTANCE] rhs_s2_i03.mps.gz
[START] 2023-02-13T01:00:58
[DUALBOUND] -17167.482618062
[END] 2023-02-13T01:01:41

[INSTANCE] rhs_s2_i04.mps.gz
[START] 2023-02-13T01:01:41
[DUALBOUND] -17167.530462696
[END] 2023-02-13T01:02:16

[INSTANCE] rhs_s2_i05.mps.gz
[START] 2023-02-13T01:02:16
[DUALBOUND] -17167.576664778
[END] 2023-02-13T01:03:01

[INSTANCE] rhs_s2_i06.mps.gz
[START] 2023-02-13T01:03:01
[DUALBOUND] -17167.618714167
[END] 2023-02-13T01:03:33

[INSTANCE] rhs_s2_i07.mps.gz
[START] 2023-02-13T01:03:33
[DUALBOUND] -17167.665760974
[END] 2023-02-13T01:04:01

[INSTANCE] rhs_s2_i08.mps.gz
[START] 2023-02-13T01:04:01
[DUALBOUND] -17167.714506767
[END] 2023-02-13T01:04:28

[INSTANCE] rhs_s2_i09.mps.gz
[START] 2023-02-13T01:04:28
[DUALBOUND] -17167.753852180
[END] 2023-02-13T01:05:06

[INSTANCE] rhs_s2_i10.mps.gz
[START] 2023-02-13T01:05:06
[DUALBOUND] -17167.801334602
[END] 2023-02-13T01:05:37

[INSTANCE] rhs_s2_i11.mps.gz
[START] 2023-02-13T01:05:38
[DUALBOUND] -17167.848211168
[END] 2023-02-13T01:06:10

[INSTANCE] rhs_s2_i12.mps.gz
[START] 2023-02-13T01:06:10
[DUALBOUND] -17167.893165736
[END] 2023-02-13T01:06:44

[INSTANCE] rhs_s2_i13.mps.gz
[START] 2023-02-13T01:06:44
[DUALBOUND] -17167.934610728
[END] 2023-02-13T01:07:24

[INSTANCE] rhs_s2_i14.mps.gz
[START] 2023-02-13T01:07:24
[DUALBOUND] -17167.980247321
[END] 2023-02-13T01:07:54

[INSTANCE] rhs_s2_i15.mps.gz
[START] 2023-02-13T01:07:54
[DUALBOUND] -17168.024306680
[END] 2023-02-13T01:08:24

[INSTANCE] rhs_s2_i16.mps.gz
[START] 2023-02-13T01:08:24
[DUALBOUND] -17168.066938582
[END] 2023-02-13T01:08:53

[INSTANCE] rhs_s2_i17.mps.gz
[START] 2023-02-13T01:08:54
[DUALBOUND] -17168.108558948
[END] 2023-02-13T01:09:24

[INSTANCE] rhs_s2_i18.mps.gz
[START] 2023-02-13T01:09:24
[DUALBOUND] -17168.155718781
[END] 2023-02-13T01:09:56

[INSTANCE] rhs_s2_i19.mps.gz
[START] 2023-02-13T01:09:56
[DUALBOUND] -17168.198622532
[END] 2023-02-13T01:10:29

[INSTANCE] rhs_s2_i20.mps.gz
[START] 2023-02-13T01:10:29
[DUALBOUND] -17168.249813263
[END] 2023-02-13T01:10:59

[INSTANCE] rhs_s2_i21.mps.gz
[START] 2023-02-13T01:10:59
[DUALBOUND] -17168.286628411
[END] 2023-02-13T01:11:31

[INSTANCE] rhs_s2_i22.mps.gz
[START] 2023-02-13T01:11:31
[DUALBOUND] -17168.410902396
[END] 2023-02-13T01:12:01

[INSTANCE] rhs_s2_i23.mps.gz
[START] 2023-02-13T01:12:01
[DUALBOUND] -17168.535679580
[END] 2023-02-13T01:12:36

[INSTANCE] rhs_s2_i24.mps.gz
[START] 2023-02-13T01:12:36
[DUALBOUND] -17168.654306635
[END] 2023-02-13T01:13:06

[INSTANCE] rhs_s2_i25.mps.gz
[START] 2023-02-13T01:13:06
[DUALBOUND] -17168.772508469
[END] 2023-02-13T01:13:37

[INSTANCE] rhs_s2_i26.mps.gz
[START] 2023-02-13T01:13:37
[DUALBOUND] -17168.896179013
[END] 2023-02-13T01:13:54

[INSTANCE] rhs_s2_i27.mps.gz
[START] 2023-02-13T01:13:54
[DUALBOUND] -17169.019231527
[END] 2023-02-13T01:14:11

[INSTANCE] rhs_s2_i28.mps.gz
