datasets/testfiles/rhs_series_2.test

60
RHS changed 
[START] 2023-02-13T01:14:11
[DUALBOUND] -17169.140607468
[END] 2023-02-13T01:14:30

[INSTANCE] rhs_s2_i29.mps.gz
[START] 2023-02-13T01:14:30
[DUALBOUND] -17169.263043562
[END] 2023-02-13T01:14:47

[INSTANCE] rhs_s2_i30.mps.gz
[START] 2023-02-13T01:14:47
[DUALBOUND] -17169.380453743
[END] 2023-02-13T01:15:04

[INSTANCE] rhs_s2_i31.mps.gz
[START] 2023-02-13T01:15:04
[DUALBOUND] -17169.509214612
[END] 2023-02-13T01:15:21

[INSTANCE] rhs_s2_i32.mps.gz
[START] 2023-02-13T01:15:21
[DUALBOUND] -17169.622307493
[END] 2023-02-13T01:15:37

[INSTANCE] rhs_s2_i33.mps.gz
[START] 2023-02-13T01:15:37
[DUALBOUND] -17169.741673718
[END] 2023-02-13T01:15:54

[INSTANCE] rhs_s2_i34.mps.gz
[START] 2023-02-13T01:15:54
[DUALBOUND] -17169.864341626
[END] 2023-02-13T01:16:12

[INSTANCE] rhs_s2_i35.mps.gz
[START] 2023-02-13T01:16:12
[DUALBOUND] -17169.980053182
[END] 2023-02-13T01:16:28

[INSTANCE] rhs_s2_i36.mps.gz
[START] 2023-02-13T01:16:28
[DUALBOUND] -17170.099038570
[END] 2023-02-13T01:16:46

[INSTANCE] rhs_s2_i37.mps.gz
[START] 2023-02-13T01:16:46
[DUALBOUND] -17170.221410587
[END] 2023-02-13T01:17:03

[INSTANCE] rhs_s2_i38.mps.gz
[START] 2023-02-13T01:17:04
[DUALBOUND] -17170.339904795
[END] 2023-02-13T01:17:21

[INSTANCE] rhs_s2_i39.mps.gz
[START] 2023-02-13T01:17:21
[DUALBOUND] -17170.452779256
[END] 2023-02-13T01:17:37

[INSTANCE] rhs_s2_i40.mps.gz
[START] 2023-02-13T01:17:37
[DUALBOUND] -17170.560042528
[END] 2023-02-13T01:17:53

[INSTANCE] rhs_s2_i41.mps.gz
[START] 2023-02-13T01:17:53
[DUALBOUND] -17170.670857626
[END] 2023-02-13T01:18:10

[INSTANCE] rhs_s2_i42.mps.gz
[START] 2023-02-13T01:18:10
[DUALBOUND] -17170.784164336
[END] 2023-02-13T01:18:26

[INSTANCE] rhs_s2_i43.mps.gz
[START] 2023-02-13T01:18:26
[DUALBOUND] -17170.898720059
[END] 2023-02-13T01:18:42

[INSTANCE] rhs_s2_i44.mps.gz
[START] 2023-02-13T01:18:42
[DUALBOUND] -17171.004099146
[END] 2023-02-13T01:18:58

[INSTANCE] rhs_s2_i45.mps.gz
[START] 2023-02-13T01:18:58
[DUALBOUND] -17171.120891672
[END] 2023-02-13T01:19:13

[INSTANCE] rhs_s2_i46.mps.gz
[START] 2023-02-13T01:19:14
[DUALBOUND] -17171.219485042
[END] 2023-02-13T01:19:29

[INSTANCE] rhs_s2_i47.mps.gz
[START] 2023-02-13T01:19:29
[DUALBOUND] -17171.326602519
[END] 2023-02-13T01:19:44

[INSTANCE] rhs_s2_i48.mps.gz
[START] 2023-02-13T01:19:44
[DUALBOUND] -17171.426258483
[END] 2023-02-13T01:19:59

[INSTANCE] rhs_s2_i49.mps.gz
[START] 2023-02-13T01:19:59
[DUALBOUND] -17171.525260385
[END] 2023-02-13T01:20:14

[INSTANCE] rhs_s2_i50.mps.gz
[START] 2023-02-13T01:20:14
[DUALBOUND] -17171.630807882
[END] 2023-02-13T01:20:28

provide_hint
Value 1 count 45 Qscore -0.388925288 Final score -0.382258621
Value 0 count 4 Qscore -0.639879308 Final score -0.564879308
max_cuts
Value 100 count 8 Qscore -0.631572500 Final score -0.594072500
Value 0 count 41 Qscore -0.366062810 Final score -0.358745737
max_cuts_root
Value 2000 count 8 Qscore -0.623553673 Final score -0.586053673
Value 0 count 41 Qscore -0.367627459 Final score -0.360310386
Provided hints: 45 successful hints: 45
fullstrong               calls 61         maxdepth 0          time 18.350672000
pscost                   calls 19165      maxdepth 0          time 0.074861000
relpscost                calls 1505       maxdepth 0          time 42.208526000
adaptivediving           calls 111        solns 0     bestsolns 0     time 1.913637000
alns                     calls 106        solns 0     bestsolns 0     time 38.041627000
completesol              calls 45         solns 111   bestsolns 47    time 207.254843000
conflictdiving           calls 75         solns 0     bestsolns 0     time 1.572396000
crossover                calls 23         solns 19    bestsolns 0     time 28.546978000
distributiondiving       calls 68         solns 0     bestsolns 0     time 2.416031000
feaspump                 calls 154        solns 154   bestsolns 5     time 11.537634000
fracdiving               calls 71         solns 0     bestsolns 0     time 1.109927000
guideddiving             calls 351        solns 1     bestsolns 1     time 5.937999000
intshifting              calls 219        solns 6     bestsolns 6     time 18.983504000
linesearchdiving         calls 63         solns 0     bestsolns 0     time 0.930529000
locks                    calls 50         solns 5     bestsolns 5     time 4.421057000
objpscostdiving          calls 50         solns 50    bestsolns 1     time 12.152618000
oneopt                   calls 51         solns 0     bestsolns 0     time 0.078715000
pscostdiving             calls 353        solns 2     bestsolns 2     time 17.612660000
randrounding             calls 444        solns 0     bestsolns 0     time 0.628257000
rens                     calls 27         solns 27    bestsolns 6     time 226.605155000
rins                     calls 79         solns 78    bestsolns 0     time 97.766334000
rootsoldiving            calls 35         solns 35    bestsolns 0     time 13.779397000
rounding                 calls 5975       solns 0     bestsolns 0     time 0.116495000
shifting                 calls 1592       solns 0     bestsolns 0     time 7.339654000
trivial                  calls 50         solns 0     bestsolns 0     time 0.026237000
veclendiving             calls 66         solns 0     bestsolns 0     time 0.995193000
zirounding               calls 20244      solns 1     bestsolns 1     time 0.456118000
domcol                   calls 52         changes 0          time 0.446898000
dualcomp                 calls 52         changes 0          time 0.407242000
dualsparsify             calls 15         changes 0          time 2.458716000
implics                  calls 152        changes 0          time 0.000901000
milp                     calls 16         changes 0          time 5.659572000
sparsify                 calls 50         changes 0          time 0.489457000
trivial                  calls 204        changes 109        time 0.003072000
aggregation              calls 791        cuts_found 0          cuts_added 0          time 22.469115000
clique                   calls 11         cuts_found 0          cuts_added 0          time 0.000241000
gomory                   calls 681        cuts_found 10777      cuts_added 753        time 6.861955000
impliedbounds            calls 791        cuts_found 12         cuts_added 6          time 0.010933000
mcf                      calls 11         cuts_found 0          cuts_added 0          time 0.000301000
mixing                   calls 791        cuts_found 0          cuts_added 0          time 0.024246000
rlt                      calls 110        cuts_found 0          cuts_added 0          time 0.000164000
zerohalf                 calls 729        cuts_found 0          cuts_added 0          time 0.052612000
